location_id,partner_id,product_id,year,export_value,import_value,hs_eci,hs_coi,location_code,partner_code,hs_product_code
14,7,6009,2015,6405,0,-0.2440719999999999,0.032094,AUS,ARE,283691
18,7,6009,2015,17151,0,1.197737,1.340259,BEL,ARE,283691
42,7,6009,2015,67865,0,-0.354319,-0.470395,CHL,ARE,283691
43,7,6009,2015,43009,0,1.120305,1.537003,CHN,ARE,283691
61,7,6009,2015,1174,0,2.13585,-2.22541,DEU,ARE,283691
68,7,6009,2015,0,2374,-0.129762,1.766609,EGY,ARE,283691
104,7,6009,2015,8707,7479,0.276331,2.791227,IND,ARE,283691
111,7,6009,2015,64045,0,1.313546,0.726479,ITA,ARE,283691
113,7,6009,2015,0,1097,0.151158,0.50303,JOR,ARE,283691
183,7,6009,2015,0,1049,-0.056826,-0.956737,QAT,ARE,283691
188,7,6009,2015,0,1985,0.523143,-0.704674,SAU,ARE,283691
224,7,6009,2015,0,1226,0.528977,2.407239,TUR,ARE,283691
231,7,6009,2015,1218,0,1.685255,-0.091962,USA,ARE,283691
14,8,6009,2015,0,466150,-0.2440719999999999,0.032094,AUS,ARG,283691
18,8,6009,2015,0,2103996,1.197737,1.340259,BEL,ARG,283691
39,8,6009,2015,0,162524,0.650021,1.213063,CAN,ARG,283691
42,8,6009,2015,353230,24739,-0.354319,-0.470395,CHL,ARG,283691
43,8,6009,2015,0,11608233,1.120305,1.537003,CHN,ARG,283691
49,8,6009,2015,0,4973,0.174742,-0.14535,COL,ARG,283691
59,8,6009,2015,0,4871,1.7070599999999998,0.508292,CZE,ARG,283691
61,8,6009,2015,0,354978,2.13585,-2.22541,DEU,ARG,283691
104,8,6009,2015,0,233787,0.276331,2.791227,IND,ARG,283691
114,8,6009,2015,0,6540348,2.440136,-0.4192369999999999,JPN,ARG,283691
121,8,6009,2015,0,2325108,1.863697,0.8662790000000001,KOR,ARG,283691
153,8,6009,2015,0,16289,1.075755,0.851741,MYS,ARG,283691
192,8,6009,2015,0,36508,2.027689,0.596151,SGP,ARG,283691
207,8,6009,2015,0,55477,1.572783,0.8481639999999999,SVN,ARG,283691
216,8,6009,2015,0,2320736,0.969353,1.370985,THA,ARG,283691
224,8,6009,2015,0,242747,0.528977,2.407239,TUR,ARG,283691
230,8,6009,2015,0,1090,0.272686,-0.363349,URY,ARG,283691
231,8,6009,2015,15064,28763226,1.685255,-0.091962,USA,ARG,283691
249,8,6009,2015,0,771819,1.876651,1.206304,TWN,ARG,283691
18,15,6009,2015,480812,0,1.197737,1.340259,BEL,AUT,283691
41,15,6009,2015,1074,0,2.236311,0.764025,CHE,AUT,283691
42,15,6009,2015,349754,0,-0.354319,-0.470395,CHL,AUT,283691
43,15,6009,2015,126658,3485,1.120305,1.537003,CHN,AUT,283691
59,15,6009,2015,0,1716,1.7070599999999998,0.508292,CZE,AUT,283691
61,15,6009,2015,1571194,0,2.13585,-2.22541,DEU,AUT,283691
77,15,6009,2015,0,475875,1.448889,0.6738850000000001,FRA,AUT,283691
102,15,6009,2015,0,35423,1.4153950000000002,0.838996,HUN,AUT,283691
104,15,6009,2015,0,299376,0.276331,2.791227,IND,AUT,283691
109,15,6009,2015,0,4703,0.258868,-0.360069,ISL,AUT,283691
110,15,6009,2015,0,19335,1.226287,0.587393,ISR,AUT,283691
111,15,6009,2015,85194,146135,1.313546,0.726479,ITA,AUT,283691
162,15,6009,2015,18740,1095,1.199703,1.354229,NLD,AUT,283691
207,15,6009,2015,242178,0,1.572783,0.8481639999999999,SVN,AUT,283691
216,15,6009,2015,0,13491,0.969353,1.370985,THA,AUT,283691
231,15,6009,2015,162087,0,1.685255,-0.091962,USA,AUT,283691
7,18,6009,2015,0,17151,0.23826,0.015031,ARE,BEL,283691
8,18,6009,2015,2103996,0,0.142955,0.326679,ARG,BEL,283691
15,18,6009,2015,0,480812,1.697827,-0.004343,AUT,BEL,283691
22,18,6009,2015,0,6337,-0.937747,-0.867134,BGD,BEL,283691
41,18,6009,2015,0,15933,2.236311,0.764025,CHE,BEL,283691
42,18,6009,2015,30137004,0,-0.354319,-0.470395,CHL,BEL,283691
59,18,6009,2015,0,415402,1.7070599999999998,0.508292,CZE,BEL,283691
61,18,6009,2015,1093130,6208818,2.13585,-2.22541,DEU,BEL,283691
64,18,6009,2015,0,72126,1.129786,1.233711,DNK,BEL,283691
71,18,6009,2015,0,400254,0.821717,2.442422,ESP,BEL,283691
72,18,6009,2015,0,55453,0.921025,1.19041,EST,BEL,283691
74,18,6009,2015,0,80881,1.525651,1.031106,FIN,BEL,283691
77,18,6009,2015,0,2157392,1.448889,0.6738850000000001,FRA,BEL,283691
81,18,6009,2015,2585,1855855,1.673932,0.804485,GBR,BEL,283691
102,18,6009,2015,0,249623,1.4153950000000002,0.838996,HUN,BEL,283691
103,18,6009,2015,0,23345,-0.095414,1.274901,IDN,BEL,283691
104,18,6009,2015,0,1278177,0.276331,2.791227,IND,BEL,283691
110,18,6009,2015,0,18425,1.226287,0.587393,ISR,BEL,283691
111,18,6009,2015,0,886411,1.313546,0.726479,ITA,BEL,283691
114,18,6009,2015,0,246486,2.440136,-0.4192369999999999,JPN,BEL,283691
121,18,6009,2015,0,18511,1.863697,0.8662790000000001,KOR,BEL,283691
131,18,6009,2015,0,2237,1.152952,1.2684950000000002,LUX,BEL,283691
162,18,6009,2015,266343,788493,1.199703,1.354229,NLD,BEL,283691
163,18,6009,2015,0,168458,0.924753,0.331273,NOR,BEL,283691
177,18,6009,2015,4823,580333,1.12516,1.174473,POL,BEL,283691
180,18,6009,2015,0,6547,-0.4111619999999999,-0.902828,PRY,BEL,283691
186,18,6009,2015,0,5759270,0.253214,0.043312,RUS,BEL,283691
188,18,6009,2015,0,7479,0.523143,-0.704674,SAU,BEL,283691
206,18,6009,2015,0,1477,1.266217,0.784884,SVK,BEL,283691
207,18,6009,2015,0,300755,1.572783,0.8481639999999999,SVN,BEL,283691
208,18,6009,2015,0,158562,1.740825,0.721597,SWE,BEL,283691
224,18,6009,2015,0,708315,0.528977,2.407239,TUR,BEL,283691
228,18,6009,2015,0,2961,0.431933,0.720688,UKR,BEL,283691
231,18,6009,2015,209523,2152,1.685255,-0.091962,USA,BEL,283691
71,23,6009,2015,0,4669,0.821717,2.442422,ESP,BGR,283691
111,23,6009,2015,9928,0,1.313546,0.726479,ITA,BGR,283691
177,23,6009,2015,18231,0,1.12516,1.174473,POL,BGR,283691
43,32,6009,2015,66240,0,1.120305,1.537003,CHN,BRA,283691
61,32,6009,2015,3487,0,2.13585,-2.22541,DEU,BRA,283691
231,32,6009,2015,40077,0,1.685255,-0.091962,USA,BRA,283691
8,39,6009,2015,162524,0,0.142955,0.326679,ARG,CAN,283691
42,39,6009,2015,1064680,0,-0.354319,-0.470395,CHL,CAN,283691
43,39,6009,2015,337265,99796,1.120305,1.537003,CHN,CAN,283691
61,39,6009,2015,55251,0,2.13585,-2.22541,DEU,CAN,283691
81,39,6009,2015,0,1352,1.673932,0.804485,GBR,CAN,283691
104,39,6009,2015,0,1905,0.276331,2.791227,IND,CAN,283691
156,39,6009,2015,0,10619,-0.711663,-0.805397,NCL,CAN,283691
196,39,6009,2015,63810,0,0.126173,-0.24541,SLE,CAN,283691
207,39,6009,2015,58028,0,1.572783,0.8481639999999999,SVN,CAN,283691
231,39,6009,2015,795446,26589,1.685255,-0.091962,USA,CAN,283691
246,39,6009,2015,0,13123,0.261913,1.718003,ZAF,CAN,283691
249,39,6009,2015,0,2331,1.876651,1.206304,TWN,CAN,283691
15,41,6009,2015,0,1074,1.697827,-0.004343,AUT,CHE,283691
18,41,6009,2015,15933,0,1.197737,1.340259,BEL,CHE,283691
42,41,6009,2015,30581,0,-0.354319,-0.470395,CHL,CHE,283691
43,41,6009,2015,27343,0,1.120305,1.537003,CHN,CHE,283691
52,41,6009,2015,0,1162,0.257456,-0.007934,CRI,CHE,283691
61,41,6009,2015,458211,12796,2.13585,-2.22541,DEU,CHE,283691
65,41,6009,2015,0,4176,-0.162642,0.4236319999999999,DOM,CHE,283691
77,41,6009,2015,6631,1742,1.448889,0.6738850000000001,FRA,CHE,283691
81,41,6009,2015,4390,0,1.673932,0.804485,GBR,CHE,283691
111,41,6009,2015,32194,0,1.313546,0.726479,ITA,CHE,283691
121,41,6009,2015,0,1404,1.863697,0.8662790000000001,KOR,CHE,283691
